iter	Passed	Remaining
0	56	56094
1	62	31091
2	68	22667
3	74	18502
4	80	15928
5	86	14278
6	91	13031
7	98	12264
8	105	11593
9	110	10982
10	116	10487
11	122	10052
12	127	9649
13	132	9355
14	139	9134
15	145	8954
16	151	8741
17	156	8558
18	162	8394
19	167	8230
20	174	8129
21	180	8039
22	186	7919
23	191	7793
24	196	7672
25	201	7564
26	207	7475
27	212	7389
28	218	7317
29	224	7258
30	229	7185
31	235	7130
32	240	7059
33	246	6989
34	251	6920
35	256	6860
36	261	6799
37	266	6743
38	271	6693
39	276	6645
40	281	6595
41	287	6560
42	293	6525
43	298	6482
44	303	6443
45	309	6410
46	314	6374
47	319	6341
48	325	6309
49	330	6275
50	335	6243
51	340	6210
52	345	6177
53	351	6154
54	356	6131
55	362	6111
56	368	6096
57	374	6079
58	381	6089
59	389	6100
60	396	6108
61	404	6123
62	412	6133
63	419	6130
64	426	6131
65	433	6135
66	441	6143
67	449	6159
68	457	6170
69	465	6179
70	472	6187
71	479	6180
72	486	6181
73	492	6163
74	498	6150
75	505	6146
76	512	6137
77	518	6132
78	526	6136
79	537	6179
80	546	6203
81	556	6224
82	564	6235
83	571	6231
84	579	6235
85	587	6247
86	596	6258
87	605	6273
88	618	6331
89	629	6364
90	638	6377
91	646	6381
92	654	6378
93	662	6382
94	670	6384
95	678	6389
96	686	6395
97	694	6391
98	702	6396
99	711	6402
100	721	6420
101	730	6433
102	740	6446
103	750	6462
104	759	6470
105	768	6483
106	778	6494
107	787	6500
108	797	6517
109	806	6525
110	815	6530
111	822	6517
112	828	6502
113	834	6486
114	840	6470
115	847	6456
116	855	6452
117	864	6459
118	873	6468
119	881	6465
120	889	6463
121	898	6463
122	906	6461
123	913	6454
124	921	6452
125	931	6459
126	938	6450
127	947	6458
128	955	6452
129	964	6457
130	975	6470
131	983	6466
132	992	6467
133	1000	6465
134	1008	6461
135	1016	6458
136	1024	6451
137	1032	6446
138	1040	6445
139	1050	6451
140	1058	6449
141	1066	6441
142	1073	6432
143	1080	6420
144	1086	6405
145	1092	6391
146	1099	6378
147	1105	6363
148	1111	6347
149	1117	6332
150	1123	6316
151	1129	6300
152	1134	6280
153	1140	6262
154	1145	6243
155	1150	6223
156	1155	6204
157	1160	6185
158	1165	6166
159	1170	6147
160	1176	6128
161	1181	6110
162	1186	6094
163	1192	6077
164	1198	6065
165	1205	6058
166	1213	6054
167	1222	6052
168	1229	6048
169	1237	6043
170	1245	6038
171	1252	6030
172	1259	6020
173	1266	6013
174	1274	6009
175	1283	6010
176	1291	6004
177	1299	6001
178	1308	6003
179	1318	6007
180	1328	6010
181	1337	6010
182	1346	6009
183	1354	6008
184	1363	6004
185	1371	6003
186	1379	5998
187	1388	5995
188	1397	5995
189	1406	5994
190	1415	5994
191	1423	5992
192	1433	5992
193	1441	5988
194	1450	5989
195	1459	5985
196	1467	5982
197	1475	5978
198	1484	5975
199	1493	5973
200	1502	5971
201	1511	5970
202	1520	5969
203	1529	5969
204	1538	5966
205	1547	5963
206	1554	5953
207	1561	5947
208	1569	5941
209	1579	5942
210	1589	5942
211	1598	5939
212	1607	5941
213	1617	5940
214	1626	5938
215	1635	5936
216	1643	5929
217	1652	5926
218	1660	5921
219	1667	5911
220	1674	5901
221	1681	5892
222	1688	5883
223	1696	5878
224	1705	5875
225	1715	5873
226	1722	5867
227	1731	5863
228	1739	5856
229	1746	5848
230	1755	5843
231	1762	5835
232	1771	5829
233	1779	5824
234	1787	5817
235	1795	5811
236	1802	5804
237	1811	5798
238	1818	5789
239	1825	5781
240	1833	5772
241	1840	5764
242	1846	5751
243	1851	5737
244	1857	5725
245	1863	5712
246	1869	5700
247	1876	5689
248	1882	5677
249	1887	5662
250	1893	5649
251	1899	5637
252	1905	5624
253	1910	5612
254	1916	5599
255	1921	5585
256	1927	5572
257	1932	5558
258	1938	5546
259	1944	5533
260	1950	5521
261	1955	5509
262	1961	5495
263	1966	5482
264	1971	5468
265	1976	5454
266	1981	5440
267	1986	5426
268	1991	5412
269	1996	5398
270	2001	5384
271	2006	5370
272	2011	5357
273	2017	5346
274	2022	5332
275	2027	5318
276	2033	5306
277	2038	5293
278	2043	5281
279	2048	5268
280	2053	5255
281	2058	5241
282	2063	5229
283	2069	5216
284	2074	5203
285	2079	5190
286	2084	5178
287	2089	5165
288	2094	5152
289	2099	5139
290	2104	5126
291	2109	5114
292	2114	5101
293	2118	5088
294	2123	5075
295	2128	5063
296	2134	5051
297	2139	5039
298	2144	5027
299	2149	5015
300	2154	5002
301	2159	4991
302	2164	4978
303	2169	4966
304	2174	4955
305	2179	4943
306	2184	4930
307	2189	4919
308	2194	4907
309	2199	4896
310	2205	4887
311	2212	4878
312	2217	4867
313	2222	4855
314	2227	4844
315	2232	4832
316	2237	4821
317	2243	4810
318	2248	4799
319	2253	4788
320	2258	4777
321	2263	4766
322	2269	4756
323	2274	4744
324	2279	4733
325	2284	4722
326	2289	4712
327	2294	4701
328	2299	4690
329	2304	4679
330	2309	4668
331	2314	4657
332	2319	4646
333	2324	4635
334	2330	4625
335	2335	4615
336	2340	4604
337	2345	4594
338	2350	4583
339	2356	4573
340	2360	4562
341	2365	4552
342	2371	4541
343	2376	4531
344	2381	4520
345	2386	4509
346	2391	4499
347	2396	4489
348	2401	4479
349	2406	4468
350	2411	4458
351	2416	4448
352	2421	4438
353	2426	4428
354	2431	4417
355	2436	4407
356	2441	4397
357	2446	4387
358	2451	4377
359	2456	4367
360	2461	4357
361	2466	4347
362	2472	4338
363	2477	4329
364	2482	4319
365	2488	4310
366	2493	4300
367	2498	4290
368	2503	4280
369	2508	4271
370	2513	4261
371	2518	4251
372	2523	4242
373	2528	4232
374	2533	4222
375	2538	4213
376	2543	4203
377	2549	4194
378	2554	4185
379	2559	4175
380	2564	4165
381	2569	4156
382	2574	4146
383	2578	4136
384	2583	4127
385	2588	4117
386	2593	4108
387	2598	4098
388	2603	4089
389	2609	4081
390	2614	4072
391	2619	4063
392	2624	4053
393	2629	4044
394	2634	4035
395	2639	4026
396	2644	4016
397	2649	4007
398	2654	3998
399	2659	3988
400	2664	3979
401	2668	3970
402	2673	3961
403	2678	3951
404	2683	3942
405	2688	3933
406	2693	3924
407	2698	3915
408	2703	3906
409	2708	3898
410	2714	3889
411	2718	3880
412	2724	3871
413	2728	3862
414	2733	3853
415	2738	3844
416	2743	3836
417	2748	3827
418	2753	3817
419	2759	3810
420	2764	3802
421	2770	3794
422	2775	3786
423	2780	3777
424	2785	3768
425	2790	3759
426	2795	3751
427	2800	3742
428	2805	3734
429	2810	3725
430	2815	3717
431	2820	3708
432	2825	3700
433	2830	3691
434	2835	3683
435	2840	3674
436	2845	3666
437	2850	3657
438	2855	3649
439	2860	3640
440	2865	3632
441	2870	3623
442	2875	3615
443	2879	3606
444	2885	3598
445	2890	3589
446	2894	3581
447	2899	3573
448	2905	3565
449	2910	3556
450	2915	3548
451	2920	3540
452	2925	3532
